Title,Author,Genres,Plot,Vote Average,Vote Count,Release Date,Large Cover URL
The Jester,"James Patterson, Andrew Gross","Fiction, Fools and jesters, Nobility in fiction, Crusades in fiction, France in fiction, Relics in fiction, Kidnapping in fiction, Kidnapping, Relics, Crusades, Fools and jesters in fiction, Nobility, History, OverDrive, Historical Fiction, Accessible book, Protected DAISY, Knights and knighthood, France, fiction, Fiction, historical, Fiction, suspense, Fiction, thrillers, Fiction, historical, general, Crusades, fiction, Historical adventure, Historical - General, Thrillers, Fiction / Thrillers, Fiction - Historical, France, Large print books, Large type books, Medieval period, 987-1515, collectionid:jpsat","Hugh De Luc returns from the Crusades to discover that his terrifying nightmare has just begun. Merciless killers have slain his young son, kidnapped his wife, Sophie, and destroyed his town in their search for a priceless relic from the Crucifixion. Hugh's quest to find Sophie is one of the most pulse-pounding adventures, mysteries, and unforgettable love stories in all of fiction.",4.5,16,2003,http://covers.openlibrary.org/b/id/189355-L.jpg
Il mistero della piramide di formaggio,Elisabetta Dami,"Adventure and adventurers, fiction, Mice, fiction, Children's fiction, Stilton, geronimo (fictitious character), fiction, Humorous stories, Animals, Journalists, Geronimo Stilton (Fictitious character), Juvenile fiction, Adventure and adventurers, Fiction, Pyramids, Mice, Mystery and detective stories, Air travel, Egypt, fiction, Journalism, fiction, Pyramides, Stilton, Geronimo (Personnage fictif), Fromage, Souris, Journalistes, Romans, nouvelles, etc. pour la jeunesse","Geronimo Stilton, intellectuel distrait, sensible et raffine , dirige le journal ""L'e cho des rongeurs"". Entoure  des membres colore s et sympathiques de sa famille, cette souris est toujours entrai ne e dans ""des aventures a   faire pa lir la mimolette!"". Le re sultat: des romans rythme s dans lesquels s'entreme lent humour et suspense le ger, e gaye s d'amusantes illustrations; les typographies varie es et expressives, ainsi que la mise en pages originale, ajoutent au plaisir de la lecture. [SDM].",3.2,92,2000,http://covers.openlibrary.org/b/id/5006979-L.jpg
Caius ist ein Dummkopf,"Henry Winterfeld (Manfred Michael), Clara Winston, Richard Winston, Harcourt Brace Publishing","Fiction, Mystery and detective stories, Detective and mystery stories, Adventure stories, Children's fiction, Rome, fiction, Boys, fiction","English title: Detectives in Togas. Originally published in Germany in 1953, this is the first of a children's mystery series set in ancient Rome.

Yes, Rufus wrote CAIUS IS A DUMBBELL on his tablet at school, but no, he did not break into the schoolroom, did not tie up his teacher, and certainly did not paint his slur about Caius on the Temple of Minerva (even if it is in Rufus's own handwriting). Rufus is doomed unless his six classmates can find out who is really responsible. Every hour seems to bring a new, confusing clue . . . until the boys finally stumble upon someone who is not what he appears to be.",4.3,25,1956,http://covers.openlibrary.org/b/id/114099-L.jpg
Trojan Odysey,Clive Cussler,"Fiction, Thriller, Pitt, dirk (fictitious character), fiction, Fiction, suspense, Fiction, thrillers, Fiction, thrillers, general, Nicaragua, fiction, Fiction, action & adventure, Fiction, thrillers, suspense, Parent and adult child, Brown tide in fiction, Marine biologists, Twins in fiction, Brown tide, Marine engineers, Antiquities, Parent and adult child in fiction, Nicaragua in fiction, Marine engineers in fiction, Open Library Staff Picks, Dirk Pitt (Fictitious character), Suspense fiction, Adventure stories, Marine biologists in fiction, Antiquities in fiction, Twins, Parent-child relationship, Adventure fiction, Mystery fiction, Dirk Pitt (Fictional character), Algae, Oceanography, Women marine biologists, Research, Large type books, Twins, fiction, Nicaragua","Long hailed as the grand master of adventure fiction, Clive Cussler has continued to astound with the intricate plotting and astonishing set pieces of his novels. Now, with a surprising twist, he gives us his most audacious work yet.In the final pages of Valhalla Rising, Dirk Pitt discovered, to his shock, that he had two grown children he had never known - twenty-three-year-old fraternal twins born to a woman he thought had died in an underwater earthquake. Both have inherited his love of the sea: the girl, Summer, is a marine biologist; the boy, himself named Dirk, is a marine engineer. And now they are about to help their father in the adventure of a lifetime.There is a brown tide infesting the ocean off the shore of Nicaragua. The twins are working in a NUMA(r) underwater enclosure, trying to determine its origin, when two startling things happen: Summer discovers an artifact, something strange and beautiful and ancient; and the worst storm in years boils up out of the sky, heading straight not only for them but also for a luxurious floating resort hotel square in its path.The peril for everybody concerned is incalculable, and, desperately, Pitt, Al Giordino, and the rest of the NUMA(r) crew rush to the rescue, but what they find in the storm's wake makes the furies of nature pale in comparison. For there is an all-too-human evil at work in that part of the world, and the brown tide is only a by-product of its plan. Soon, its work will be complete-and the world will be a very different place.Though if Summer's discovery is to be believed, the world is already a very different place...Filled with breathtaking action and suspense, Trojan Odyssey is Cussler at the height of his storytelling powers.",3.7,14,2003,http://covers.openlibrary.org/b/id/1199263-L.jpg
Five Go Off in a Caravan,Enid Blyton,"Children's stories, Large type books, Juvenile fiction, Famous Five (Fictitious characters), Circus, Cinco famosos (Personajes literarios), Novela juvenil, Aventuras, Adventure stories, Criminals, Vacations, Fiction, Caravans, Mystery and detective stories, Children's fiction, Circus, fiction, Fiction, general, Adventure and adventurers, fiction, Holidays, fiction","A caravan holiday for the Famous Five is bound to be an adventure! And when they stumble across a circus troupe, the gang are thrilled. But some of the circus people have more sinister plans than just clowning around.",4.2,13,1946,http://covers.openlibrary.org/b/id/14608017-L.jpg
Tex,S. E. Hinton,"Brothers, Fiction, Self-reliance, Fiction in English, Brothers and sisters, Juvenile fiction, Teenage boys, Children's fiction, Fiction, action & adventure, Adolescence, fiction, Family, fiction",The love between two teenage brothers helps to alleviate the harshness of their usually parentless life as they struggle to grow up.,3.9,19,1979,http://covers.openlibrary.org/b/id/4735660-L.jpg
The secret of Shadow Ranch,Mildred Augustine Wirt Benson,"Detective and mystery stories, Fiction, Juvenile fiction, Mystery, OverDrive, Treasure troves, Drew, nancy (fictitious character), fiction, Mystery and detective stories, Children's fiction, Nancy Drew (Fictitious character), Adventure stories, Women detectives, Buried treasure",This cool paperback blank journal features one of the most memorable cover images from the classic Nancy Drew Mystery Stories series.,4.1,9,1971,http://covers.openlibrary.org/b/id/12712021-L.jpg
The Reef,Nora Roberts,"Love stories, American, Arqueología submarina, Underwater archaeology, Open Library Staff Picks, Tesoros ocultos, Treasure troves, Treasure-trove, Ficción, Fiction, Large type books, Marine archaeologists, Fiction, romance, general, Fiction, action & adventure, Caribbean area, fiction, Fiction, romance, contemporary, Fiction, suspense, Fiction, thrillers, suspense, Buried treasure","Kurzbeschreibung
 
Der Ruf der Wellen (The Reef) - Nora Roberts

Seit über 250 Jahren ruht das geheimnisvolle Amulett ""Angeliques Fluch"" in den Tiefen des Ozeans. Auf der Suche nach dem Juwel lernt Tate beim Tauchen in der Karibik Matthew kennen, und beide entdecken ihre Liebe zueinander. Doch ein tragischer Unfall stellt sich ihrem Glück in den Weg...",3.5,34,1998,http://covers.openlibrary.org/b/id/3203667-L.jpg
Captain Underpants And the Terrifying Return of Tippy Tinkletrousers,Dav Pilkey,"Humorous Stories, JUVENILE FICTION, Fiction, Schools, Captain Underpants (Fictional character), Friendship, Time travel, School stories, Action & Adventure, Bullies, School principals, Heroes and heroines, Bullying, Social Themes, Humorous fiction, Heroes, Captain Underpants (Fictitious character), Superheroes, Children's fiction, Adventure and adventurers, fiction, Heroes, fiction, Captain underpants (fictitious character), fiction, Héroes, Ficción juvenil, Cartoons and comics, Superintendentes y directores, Humorous stories, Juvenile fiction, Escuelas, Cuentos humorísticos, Viajes a través del tiempo",LIBRARY BOUND EDITION,3.4,6,2012,http://covers.openlibrary.org/b/id/7275301-L.jpg
Der Schatz der Sierra Madre,B. Traven,"Gold discoveries, Fiction, Americans, Gold miners, Gold mines and mining, Treasure troves, Fiction, westerns, Readers, Spanish language, Mines and mineral resources, Fiction, general, Fiction, action & adventure","**The Treasure of the Sierra Madre** (originally titled **Der Schatz der Sierra Madre**) is a 1927 adventure novel by German author B. Traven, whose identity remains unknown. In the book, two destitute American men in Mexico of the 1920s join an older American prospector in a search for gold. John Huston adapted the book as a 1948 film of the same name.

(Source: [Wikipedia](https://en.wikipedia.org/wiki/The_Treasure_of_the_Sierra_Madre))",4.2,40,1927,http://covers.openlibrary.org/b/id/9327672-L.jpg
Choose Your Own Adventure - Journey Under The Sea,R. A. Montgomery,"Underwater exploration, Plot-your-own stories, Fiction, Juvenile fiction, Large type books, Adventure stories, Spanish language materials, collectionID:CYOA1, Underwater exploration, fiction, Legends, Children's fiction, Kriminalrätsel","The reader embarks on an expedition in an underwater vessel to find the lost city of Atlantis. By choosing specific pages, the reader determines the outcome of the plot.",3.4,12,1977,http://covers.openlibrary.org/b/id/3062257-L.jpg
The quest for paradise,Elisabetta Dami,"Fiction, Mice, Adventure and adventurers, Fairies, Juvenile fiction, Geronimo Stilton (Fictitious character), Children's fiction, Fairies, fiction, Fantasy fiction, Adventure and adventurers, fiction, Dragons, fiction","Invited by the Queen of the Fairies to return to her kingdom and help in the quest for the true heart of happiness, Geronimo soon finds himself on an adventurous journey riding on the wings of a rainbow-colored dragon through seven fantastic lands.",3.4,5,2006,http://covers.openlibrary.org/b/id/7905486-L.jpg
